threshold,purity,entropy,clustered_ratio,largest_component_ratio,num_clusters,num_non_singleton_clusters,largest_cluster_size,selection_score
0.5,0.2880742605412209,2.808016126910924,0.6524327653459249,0.6410388010675426,3427.0,41.0,6245.0,0.0674664294031338
0.6,0.3125115848007414,2.7400033778037987,0.5537877232601108,0.5238144118250873,4438.0,91.0,5103.0,0.08241109645482476
0.7,0.3304673721340388,2.6551949392725507,0.4656128105111887,0.4131595154998974,5347.0,141.0,4025.0,0.09029705258321226
0.8,0.4298863021115322,2.2393750085138,0.37918291931841513,0.19759802915212482,6317.0,269.0,1925.0,0.1307959689700704
